,date,type,source,mean,std
16102,2021-08-01,9,48,6917.764150943396,4972.8407605271
16130,2021-08-02,9,2,9526.789331611995,5836.815073874434
16131,2021-08-02,9,3,8564.447133900581,5535.348608413761
16132,2021-08-02,9,4,12035.639383155398,7775.729281785143
16133,2021-08-02,9,6,7394.935008087229,4919.009688909499
16134,2021-08-02,9,7,9481.785132382893,8373.829147261858
16135,2021-08-02,9,9,6552.179222520107,4601.461931394244
16136,2021-08-02,9,13,5855.481787595085,7964.521750710348
16137,2021-08-02,9,19,8627.807947019868,5302.749897572305
16138,2021-08-02,9,48,7651.495238095238,6699.463137394222
16166,2021-08-03,9,2,9397.75840188014,5786.170661568409
16167,2021-08-03,9,3,8599.71782973407,5496.855574669868
16168,2021-08-03,9,4,11979.100793650794,7454.943512519982
16169,2021-08-03,9,6,7286.494618539415,4874.757075369151
16170,2021-08-03,9,7,9473.390529531569,8298.535456826325
16171,2021-08-03,9,9,6559.8416733925205,4670.414071144411
16172,2021-08-03,9,13,5780.935922623546,8104.834633420894
16173,2021-08-03,9,19,8639.934640522875,5282.295539512407
16174,2021-08-03,9,48,6951.857142857143,4415.417097269197
16202,2021-08-04,9,2,9516.973126341478,5882.172338533852
16203,2021-08-04,9,3,8644.767944344103,5508.533170228558
16204,2021-08-04,9,4,12213.224917163685,7668.839622994985
16205,2021-08-04,9,6,7377.935703505328,4875.625196249976
16206,2021-08-04,9,7,9777.845957011259,8372.148948978253
16207,2021-08-04,9,9,6638.8110543302855,4714.292195873539
16208,2021-08-04,9,13,5837.29250956807,7939.32525130373
16209,2021-08-04,9,19,7977.18064516129,5335.206654392827
16210,2021-08-04,9,48,7256.9908256880735,5842.532127196432
16238,2021-08-05,9,2,9533.271639503699,5684.800441993568
16239,2021-08-05,9,3,8687.237626414842,5500.670003704706
16240,2021-08-05,9,4,12140.4269737718,7611.638788200385
16241,2021-08-05,9,6,7422.919784880218,4870.701198900621
16242,2021-08-05,9,7,9591.906652913873,8179.983403464943
16243,2021-08-05,9,9,6682.951222807728,4608.667308912858
16244,2021-08-05,9,13,5819.948225094062,8048.291705309945
16245,2021-08-05,9,19,8587.458598726114,5900.960209228931
16246,2021-08-05,9,48,6769.85046728972,5009.815239322305
16274,2021-08-06,9,2,9642.262774371278,5821.081815856907
16275,2021-08-06,9,3,8780.568301617082,5611.386545410113
16276,2021-08-06,9,4,12392.81507308569,7836.260073575722
16277,2021-08-06,9,6,7561.993382461816,4989.340344389995
16278,2021-08-06,9,7,9570.9408436214,8198.333854121336
16279,2021-08-06,9,9,6748.3180765563275,4715.772786960936
16280,2021-08-06,9,13,5949.28531590414,8705.734215781384
16281,2021-08-06,9,19,8717.87341772152,5566.05632981534
16282,2021-08-06,9,48,6489.266055045871,4987.161117498875
16310,2021-08-07,9,2,9987.388301683985,6239.181759743574
16311,2021-08-07,9,3,9431.013201542048,6716.766781263587
16312,2021-08-07,9,4,13611.116921035169,9009.075616688668
16313,2021-08-07,9,6,7991.283367978619,5404.535813856873
16314,2021-08-07,9,7,9584.170882808467,8903.135313144003
16315,2021-08-07,9,9,7095.075600436681,5092.74610667684
16316,2021-08-07,9,13,6137.225085742283,8235.511379607906
16317,2021-08-07,9,19,9617.354838709678,6278.931168600683
16318,2021-08-07,9,48,7486.805825242718,5665.927466881811
16346,2021-08-08,9,2,8827.15312481275,6068.075503054018
16347,2021-08-08,9,3,9180.865659920119,6829.228320747451
16348,2021-08-08,9,4,13056.738821672803,8852.241099172408
16349,2021-08-08,9,6,7159.80395075866,5461.514622149633
16350,2021-08-08,9,7,8207.467708333334,8359.555817965636
16351,2021-08-08,9,9,6571.219950603732,5308.115208904738
16352,2021-08-08,9,13,5156.853415453527,8193.596229374582
16353,2021-08-08,9,19,8789.465408805032,7110.101444717623
16354,2021-08-08,9,48,7020.528846153846,5754.627259203128
16382,2021-08-09,9,2,9636.901761517614,5802.151582817828
16383,2021-08-09,9,3,8716.768781992534,5562.916747811056
16384,2021-08-09,9,4,12438.1364599894,7736.733073580947
16385,2021-08-09,9,6,7472.087037801633,4938.027352641155
16386,2021-08-09,9,7,9571.720413436693,7880.588132837069
16387,2021-08-09,9,9,6682.794529961518,4719.842056007017
16388,2021-08-09,9,13,5737.311852549442,8676.347653385725
16389,2021-08-09,9,19,8563.285714285714,6002.320287218697
16390,2021-08-09,9,48,7381.432989690722,4913.927977161822
16418,2021-08-10,9,2,9535.85361334157,5763.053954311015
16419,2021-08-10,9,3,8860.932648020826,5603.760327164797
16420,2021-08-10,9,4,12567.83190958076,7991.363342264438
16421,2021-08-10,9,6,7470.471972875122,5011.282350584938
16422,2021-08-10,9,7,9396.025401762572,8020.673884602908
16423,2021-08-10,9,9,6667.25098895103,4714.537136881141
16424,2021-08-10,9,13,5427.6968001398845,6447.650404264786
16425,2021-08-10,9,19,8824.302469135802,5260.420978465231
16426,2021-08-10,9,48,7240.096153846154,5039.921754515198
16454,2021-08-11,9,2,9976.333470697318,5954.225032528865
16455,2021-08-11,9,3,9017.917784489651,5691.723127695074
16456,2021-08-11,9,4,13396.546838100236,8154.752907774051
16457,2021-08-11,9,6,7753.785011973841,5000.257963650615
16458,2021-08-11,9,7,9859.350676378772,8356.133379782812
16459,2021-08-11,9,9,6928.643901784516,4791.748113134248
16460,2021-08-11,9,13,5984.805173133083,7523.939455505541
16461,2021-08-11,9,19,8713.521212121212,5899.369432599657
16462,2021-08-11,9,48,7041.4953271028035,4878.934387934563
16490,2021-08-12,9,2,9816.79956966428,5856.203016601477
16491,2021-08-12,9,3,8902.799857216161,5599.214522204197
16492,2021-08-12,9,4,13119.836265044307,8237.354564952444
16493,2021-08-12,9,6,7658.962762645017,4906.382519519389
16494,2021-08-12,9,7,9604.144791666668,7972.059786143395
16495,2021-08-12,9,9,6866.438819129041,4599.39756953043
16496,2021-08-12,9,13,5917.472191930207,6721.959130756732
16497,2021-08-12,9,19,8782.434782608696,5800.776754865042
16498,2021-08-12,9,48,7184.355140186916,5026.752243543401
16526,2021-08-13,9,2,9990.970480359678,5878.919995717341
16527,2021-08-13,9,3,8966.882373980105,5639.435913278255
16528,2021-08-13,9,4,13259.559814323607,8352.06542911526
16529,2021-08-13,9,6,7814.184661060025,4952.512152155923
16530,2021-08-13,9,7,9785.156168662155,8098.552367397129
16531,2021-08-13,9,9,6986.9938337801605,4779.076801079354
16532,2021-08-13,9,13,6147.736222222222,7531.67909527469
16533,2021-08-13,9,19,9187.018867924528,5912.4959843931
16534,2021-08-13,9,48,6920.471153846154,4390.223467688997
16562,2021-08-14,9,2,10266.514541387025,6234.915701628383
16563,2021-08-14,9,3,9713.748399415927,7122.608917381002
16564,2021-08-14,9,4,14685.529544849614,9711.71867007479
16565,2021-08-14,9,6,8272.191664641836,5553.856355582107
16566,2021-08-14,9,7,9971.688912243826,9115.594321536277
16567,2021-08-14,9,9,7594.049397590362,5607.372422215792
16568,2021-08-14,9,13,6397.730884730885,8181.517840508358
16569,2021-08-14,9,19,9741.575,6669.254222259943
16570,2021-08-14,9,48,7505.403846153846,4467.635152375622
16598,2021-08-15,9,2,8911.314390302448,6811.042215865877
16599,2021-08-15,9,3,9091.810119155081,6917.748490753123
16600,2021-08-15,9,4,13177.94821877897,9358.95600088973
16601,2021-08-15,9,6,7159.705070674041,5445.403437370524
16602,2021-08-15,9,7,8448.66983122363,8586.86489141936
16603,2021-08-15,9,9,6534.967241609841,5213.673017727667
16604,2021-08-15,9,13,5299.925197794294,8911.375865325641
16605,2021-08-15,9,19,9006.75,6915.003853166546
16606,2021-08-15,9,48,6789.639175257732,4881.86295380148
16634,2021-08-16,9,2,8869.37020228985,5535.26779896152
16635,2021-08-16,9,3,8011.516806436217,5179.403131078254
16636,2021-08-16,9,4,11218.118634886241,7274.165966706052
16637,2021-08-16,9,6,6868.135846034196,5462.596546029399
16638,2021-08-16,9,7,8659.915478077126,7578.611227993698
16639,2021-08-16,9,9,6198.615507381301,4435.292798027441
16640,2021-08-16,9,13,5565.976844115541,8953.95065123465
16641,2021-08-16,9,19,8254.8625,5932.473541499994
16642,2021-08-16,9,48,6478.0291262135925,4632.680193327956
16670,2021-08-17,9,2,9243.87754678986,5775.303846433733
16671,2021-08-17,9,3,8645.59785224538,5615.594925576755
16672,2021-08-17,9,4,11960.85721975508,7604.564675993898
16673,2021-08-17,9,6,7209.698377083866,5584.029660546419
16674,2021-08-17,9,7,9258.216587427363,7880.179366579863
16675,2021-08-17,9,9,6476.536832289863,4624.973640969757
16676,2021-08-17,9,13,5697.613451589062,8269.035817615484
16677,2021-08-17,9,19,8103.6125,5645.783673048555
16678,2021-08-17,9,48,6583.838095238095,4282.81248158041
16706,2021-08-18,9,2,9464.591694578652,5999.935861715014
16707,2021-08-18,9,3,8697.21944520736,5562.521633097527
16708,2021-08-18,9,4,11413.758431477516,7674.765876049308
16709,2021-08-18,9,6,7384.314782021111,4928.424360985065
16710,2021-08-18,9,7,9297.782334384858,7690.448324364066
16711,2021-08-18,9,9,6609.706201242893,4679.710206765405
16712,2021-08-18,9,13,5799.910511721704,7559.855682838353
16713,2021-08-18,9,19,8313.0625,5468.655076732344
16714,2021-08-18,9,48,7038.862745098039,5028.516900498429
16742,2021-08-19,9,2,9529.021681258873,5812.475954628754
16743,2021-08-19,9,3,8793.448869631591,5672.855444322192
16744,2021-08-19,9,4,11678.9068,7768.72284352645
16745,2021-08-19,9,6,7446.056481816378,4969.859641515825
16746,2021-08-19,9,7,9449.351881293058,7870.097988867405
16747,2021-08-19,9,9,6718.119735099338,4719.288306849165
16748,2021-08-19,9,13,5873.392287917738,8459.814128456674
16749,2021-08-19,9,19,8802.748427672956,5994.250523741404
16750,2021-08-19,9,48,7298.950495049505,5087.846555029422
16778,2021-08-20,9,2,10063.270759298744,5939.64524894239
16779,2021-08-20,9,3,9111.605807086615,5724.609344808861
16780,2021-08-20,9,4,12653.77863612147,8269.070194332144
16781,2021-08-20,9,6,7885.429533260862,5185.113240975648
16782,2021-08-20,9,7,9879.947955390335,8136.186153982265
16783,2021-08-20,9,9,7013.277653263019,4792.277163364405
16784,2021-08-20,9,13,6281.528021978022,10582.37696791
16785,2021-08-20,9,19,9032.906832298137,5288.708878120966
16786,2021-08-20,9,48,7055.158415841584,4906.251364805259
16814,2021-08-21,9,2,10647.822439111747,6703.693116129268
16815,2021-08-21,9,3,9903.002220926059,6930.493628610802
16816,2021-08-21,9,4,14468.917670682731,10030.53215556
16817,2021-08-21,9,6,8468.23394183676,5795.489640629639
16818,2021-08-21,9,7,10276.225789192082,9038.920926847248
16819,2021-08-21,9,9,7799.660662251656,5790.488269991014
16820,2021-08-21,9,13,6638.618505545826,9692.624825791185
16821,2021-08-21,9,19,10003.930817610062,7769.190849580722
16822,2021-08-21,9,48,7237.575757575758,4485.871896891916
16850,2021-08-22,9,2,8041.8703124059475,5817.004076095749
16851,2021-08-22,9,3,8619.710173268453,6780.308770713562
16852,2021-08-22,9,4,11497.23561827957,8725.010263466085
16853,2021-08-22,9,6,6534.500381531526,5336.387693680387
16854,2021-08-22,9,7,7467.513821138212,7676.969672532341
16855,2021-08-22,9,9,5907.873068726692,5002.572138650512
16856,2021-08-22,9,13,4925.0624207858045,9355.58587557945
16857,2021-08-22,9,19,7970.130434782609,6832.710839347033
16858,2021-08-22,9,48,5980.652631578947,4693.395068782143
16886,2021-08-23,9,2,9430.3805424912,5762.164338877203
16887,2021-08-23,9,3,8461.030272908007,5436.460158827957
16888,2021-08-23,9,4,11310.312617956322,7652.415788267569
16889,2021-08-23,9,6,7304.818695718601,4946.521360775409
16890,2021-08-23,9,7,9276.650845608292,7984.322556546462
16891,2021-08-23,9,9,6615.076424699193,4710.010438871676
16892,2021-08-23,9,13,5987.711424819436,8996.369141446814
16893,2021-08-23,9,19,8498.53125,5673.0526450477
16894,2021-08-23,9,48,6348.68085106383,4256.261672398732
16922,2021-08-24,9,2,9896.492466179214,5931.290469382582
16923,2021-08-24,9,3,8998.51556245221,5663.070334372369
16924,2021-08-24,9,4,12225.313034188033,7931.745348608759
