,date,type,source,mean,std
9989,2021-02-14,65,3,57.8893610529986,8.863733163827733
9990,2021-02-14,65,6,60.19784146071015,8.338270148764401
9991,2021-02-14,65,7,63.040849673202615,9.772533971603137
9992,2021-02-14,65,9,61.92379182156134,9.511913089554998
9993,2021-02-14,65,13,76.3529411764706,15.705543183452985
10025,2021-02-15,65,2,64.21480037297619,7.556906811925902
10026,2021-02-15,65,3,56.67036930498086,8.497758927352708
10027,2021-02-15,65,6,59.772439138692256,8.276707403287393
10028,2021-02-15,65,7,62.49434571890146,9.433529182217086
10029,2021-02-15,65,9,61.16171003717472,9.62392766299218
10030,2021-02-15,65,13,73.66666666666667,10.732457966767855
10062,2021-02-16,65,2,64.16664797263194,7.576958312825497
10063,2021-02-16,65,3,57.107614658766735,8.681332803313321
10064,2021-02-16,65,6,60.36536990897205,8.419113722961653
10065,2021-02-16,65,7,62.7515923566879,9.477182234519349
10066,2021-02-16,65,9,60.78597339782346,9.454819113501069
10067,2021-02-16,65,13,75.56906077348066,12.361316619090266
10099,2021-02-17,65,2,64.29463307776561,7.599877023688138
10100,2021-02-17,65,3,57.401816391290076,8.717309923469712
10101,2021-02-17,65,6,60.52742720245005,8.373634703808586
10102,2021-02-17,65,7,62.875,9.391732294907452
10103,2021-02-17,65,9,60.85011990407674,9.253159804745641
10104,2021-02-17,65,13,75.37244897959184,12.111408316444457
10136,2021-02-18,65,2,64.34516770812901,7.617804328248395
10137,2021-02-18,65,3,57.4133528627331,8.704921702351482
10138,2021-02-18,65,6,60.53232533889468,8.34045622735424
10139,2021-02-18,65,7,63.15348837209302,9.698226502016452
10140,2021-02-18,65,9,60.58148148148148,9.232682464538893
10141,2021-02-18,65,13,75.3265306122449,13.267098699475413
10173,2021-02-19,65,2,64.40547138047138,7.621484525856309
10174,2021-02-19,65,3,57.532292576419216,8.661037147627026
10175,2021-02-19,65,6,60.42017246535739,8.300300039418728
10176,2021-02-19,65,7,62.82753164556962,9.847345201968434
10177,2021-02-19,65,9,60.8525564803805,9.665458689111102
10178,2021-02-19,65,13,76.41121495327103,12.463244192181815
10210,2021-02-20,65,2,64.5078131646862,7.584130327651587
10211,2021-02-20,65,3,58.43984832069339,8.887250295500058
10212,2021-02-20,65,6,61.08035803580358,8.664148929145117
10213,2021-02-20,65,7,63.678629690048936,10.794704133734685
10214,2021-02-20,65,9,61.63710618436406,10.152697492903219
10215,2021-02-20,65,13,76.33980582524272,11.420181877205534
10247,2021-02-21,65,2,64.60487971142102,7.566919129722725
10248,2021-02-21,65,3,58.42248111912118,8.957829463542366
10249,2021-02-21,65,6,60.851796106763,8.517133622621671
10250,2021-02-21,65,7,63.08888888888889,9.721936938628051
10251,2021-02-21,65,9,61.46650998824912,9.705656054721246
